student_id,enrollment_year,gender,semester,academic_year,semester_in_year,semester_year,major,credits_attempted,credits_earned,gpa,cumulative_credits,cumulative_gpa,library_visits,semester_training_points,cumulative_training_points,status
2001_0009,2001,Male,5,3,Fall,2003,SE,17,17,2.67,57,2.351,13,50,171,active
2001_0009,2001,Male,6,3,Spring,2003,SE,17,17,2.96,74,2.491,22,40,211,active
2001_0009,2001,Male,7,4,Fall,2004,SE,20,19,2.94,93,2.583,8,54,265,active
2001_0009,2001,Male,8,4,Spring,2004,SE,21,21,3.47,114,2.746,12,49,314,active
2001_0010,2001,Male,1,1,Fall,2001,SE,17,16,2.61,16,2.61,17,41,41,active
2001_0010,2001,Male,2,1,Spring,2001,SE,13,13,2.5,29,2.561,15,33,74,active
2001_0010,2001,Male,3,2,Fall,2002,SE,16,15,2.87,44,2.666,16,33,107,active
2001_0010,2001,Male,4,2,Spring,2002,SE,17,10,2.36,54,2.609,18,32,139,active
2001_0010,2001,Male,5,3,Fall,2003,SE,16,16,3.02,70,2.703,27,40,179,active
2001_0010,2001,Male,6,3,Spring,2003,SE,16,15,2.9,85,2.738,22,41,220,active
2001_0010,2001,Male,7,4,Fall,2004,SE,14,14,2.42,99,2.693,15,32,252,active
2001_0010,2001,Male,8,4,Spring,2004,SE,15,15,2.67,114,2.69,16,42,294,active
2001_0011,2001,Female,1,1,Fall,2001,SE,14,14,2.47,14,2.47,10,42,42,active
2001_0011,2001,Female,2,1,Spring,2001,SE,12,12,2.67,26,2.562,13,40,82,dropped_out
2001_0011,2001,Female,3,2,Fall,2002,SE,0,0,0.0,26,2.562,0,0,82,dropped_out
2001_0011,2001,Female,4,2,Spring,2002,SE,0,0,0.0,26,2.562,0,0,82,dropped_out
2001_0011,2001,Female,5,3,Fall,2003,SE,0,0,0.0,26,2.562,0,0,82,dropped_out
2001_0011,2001,Female,6,3,Spring,2003,SE,0,0,0.0,26,2.562,0,0,82,dropped_out
2001_0011,2001,Female,7,4,Fall,2004,SE,0,0,0.0,26,2.562,0,0,82,dropped_out
2001_0011,2001,Female,8,4,Spring,2004,SE,0,0,0.0,26,2.562,0,0,82,dropped_out
2001_0012,2001,Male,1,1,Fall,2001,SE,8,6,1.83,6,1.83,13,40,40,active
2001_0012,2001,Male,2,1,Spring,2001,SE,11,6,1.57,12,1.7,11,30,70,active
2001_0012,2001,Male,3,2,Fall,2002,SE,13,9,2.18,21,1.906,11,33,103,active
2001_0012,2001,Male,4,2,Spring,2002,SE,17,17,2.53,38,2.185,12,38,141,active
2001_0012,2001,Male,5,3,Fall,2003,SE,16,16,2.55,54,2.293,14,46,187,active
2001_0012,2001,Male,6,3,Spring,2003,SE,19,18,2.7,72,2.395,14,47,234,active
2001_0012,2001,Male,7,4,Fall,2004,SE,19,19,3.18,91,2.559,29,51,285,active
2001_0012,2001,Male,8,4,Spring,2004,SE,21,19,3.05,110,2.644,23,47,332,active
2001_0013,2001,Male,1,1,Fall,2001,SE,9,9,2.36,9,2.36,17,41,41,dropped_out
2001_0013,2001,Male,2,1,Spring,2001,SE,0,0,0.0,9,2.36,0,0,41,dropped_out
2001_0013,2001,Male,3,2,Fall,2002,SE,0,0,0.0,9,2.36,0,0,41,dropped_out
2001_0013,2001,Male,4,2,Spring,2002,SE,0,0,0.0,9,2.36,0,0,41,dropped_out
2001_0013,2001,Male,5,3,Fall,2003,SE,0,0,0.0,9,2.36,0,0,41,dropped_out
2001_0013,2001,Male,6,3,Spring,2003,SE,0,0,0.0,9,2.36,0,0,41,dropped_out
2001_0013,2001,Male,7,4,Fall,2004,SE,0,0,0.0,9,2.36,0,0,41,dropped_out
2001_0013,2001,Male,8,4,Spring,2004,SE,0,0,0.0,9,2.36,0,0,41,dropped_out
2001_0014,2001,Female,1,1,Fall,2001,SE,20,18,3.35,18,3.35,12,35,35,active
2001_0014,2001,Female,2,1,Spring,2001,SE,13,13,3.36,31,3.354,9,37,72,active
2001_0014,2001,Female,3,2,Fall,2002,SE,13,13,3.27,44,3.329,25,37,109,active
2001_0014,2001,Female,4,2,Spring,2002,SE,14,14,3.0,58,3.25,21,33,142,active
2001_0014,2001,Female,5,3,Fall,2003,SE,15,15,3.53,73,3.307,18,75,217,active
2001_0014,2001,Female,6,3,Spring,2003,SE,16,16,3.46,89,3.335,24,43,260,active
2001_0014,2001,Female,7,4,Fall,2004,SE,17,17,3.12,106,3.3,24,40,300,active
2001_0014,2001,Female,8,4,Spring,2004,SE,19,15,2.69,121,3.225,25,31,331,active
2001_0015,2001,Male,1,1,Fall,2001,SE,10,9,2.23,9,2.23,8,32,32,active
2001_0015,2001,Male,2,1,Spring,2001,SE,10,10,2.53,19,2.388,5,34,66,dropped_out
2001_0015,2001,Male,3,2,Fall,2002,SE,0,0,0.0,19,2.388,0,0,66,dropped_out
2001_0015,2001,Male,4,2,Spring,2002,SE,0,0,0.0,19,2.388,0,0,66,dropped_out
2001_0015,2001,Male,5,3,Fall,2003,SE,0,0,0.0,19,2.388,0,0,66,dropped_out
2001_0015,2001,Male,6,3,Spring,2003,SE,0,0,0.0,19,2.388,0,0,66,dropped_out
2001_0015,2001,Male,7,4,Fall,2004,SE,0,0,0.0,19,2.388,0,0,66,dropped_out
2001_0015,2001,Male,8,4,Spring,2004,SE,0,0,0.0,19,2.388,0,0,66,dropped_out
2001_0016,2001,Male,1,1,Fall,2001,SE,15,15,3.07,15,3.07,12,52,52,active
2001_0016,2001,Male,2,1,Spring,2001,SE,18,18,3.08,33,3.075,31,47,99,active
2001_0016,2001,Male,3,2,Fall,2002,SE,14,14,2.55,47,2.919,14,31,130,active
2001_0016,2001,Male,4,2,Spring,2002,SE,15,14,2.64,61,2.855,28,44,174,active
2001_0016,2001,Male,5,3,Fall,2003,SE,17,16,2.7,77,2.823,8,48,222,active
2001_0016,2001,Male,6,3,Spring,2003,SE,14,14,2.61,91,2.79,21,39,261,active
2001_0016,2001,Male,7,4,Fall,2004,SE,14,14,3.01,105,2.819,20,47,308,active
2001_0016,2001,Male,8,4,Spring,2004,SE,16,16,3.06,121,2.851,26,48,356,active
2001_0017,2001,Male,1,1,Fall,2001,SE,9,4,0.41,4,0.41,11,31,31,dropped_out
2001_0017,2001,Male,2,1,Spring,2001,SE,0,0,0.0,4,0.41,0,0,31,dropped_out
2001_0017,2001,Male,3,2,Fall,2002,SE,0,0,0.0,4,0.41,0,0,31,dropped_out
2001_0017,2001,Male,4,2,Spring,2002,SE,0,0,0.0,4,0.41,0,0,31,dropped_out
2001_0017,2001,Male,5,3,Fall,2003,SE,0,0,0.0,4,0.41,0,0,31,dropped_out
2001_0017,2001,Male,6,3,Spring,2003,SE,0,0,0.0,4,0.41,0,0,31,dropped_out
2001_0017,2001,Male,7,4,Fall,2004,SE,0,0,0.0,4,0.41,0,0,31,dropped_out
2001_0017,2001,Male,8,4,Spring,2004,SE,0,0,0.0,4,0.41,0,0,31,dropped_out
2001_0018,2001,Female,1,1,Fall,2001,SE,15,15,2.84,15,2.84,15,26,26,active
2001_0018,2001,Female,2,1,Spring,2001,SE,15,15,3.14,30,2.99,23,38,64,active
2001_0018,2001,Female,3,2,Fall,2002,SE,12,9,2.56,39,2.891,10,32,96,dropped_out
2001_0018,2001,Female,4,2,Spring,2002,SE,0,0,0.0,39,2.891,0,0,96,dropped_out
2001_0018,2001,Female,5,3,Fall,2003,SE,0,0,0.0,39,2.891,0,0,96,dropped_out
2001_0018,2001,Female,6,3,Spring,2003,SE,0,0,0.0,39,2.891,0,0,96,dropped_out
2001_0018,2001,Female,7,4,Fall,2004,SE,0,0,0.0,39,2.891,0,0,96,dropped_out
2001_0018,2001,Female,8,4,Spring,2004,SE,0,0,0.0,39,2.891,0,0,96,dropped_out
2001_0019,2001,Female,1,1,Fall,2001,SE,8,8,2.86,8,2.86,27,52,52,active
2001_0019,2001,Female,2,1,Spring,2001,SE,9,9,2.81,17,2.834,19,43,95,active
2001_0019,2001,Female,3,2,Fall,2002,SE,12,12,2.76,29,2.803,17,40,135,active
2001_0019,2001,Female,4,2,Spring,2002,SE,18,17,2.92,46,2.846,18,43,178,active
2001_0019,2001,Female,5,3,Fall,2003,SE,16,16,3.24,62,2.948,24,52,230,active
2001_0019,2001,Female,6,3,Spring,2003,SE,18,18,3.18,80,3.0,26,62,292,active
2001_0019,2001,Female,7,4,Fall,2004,SE,18,18,3.48,98,3.088,28,52,344,active
2001_0019,2001,Female,8,4,Spring,2004,SE,19,19,3.53,117,3.16,25,75,419,active
2001_0020,2001,Male,1,1,Fall,2001,SE,12,11,3.03,11,3.03,24,40,40,active
2001_0020,2001,Male,2,1,Spring,2001,SE,13,10,2.84,21,2.94,16,47,87,active
2001_0020,2001,Male,3,2,Fall,2002,SE,14,14,3.2,35,3.044,22,36,123,active
2001_0020,2001,Male,4,2,Spring,2002,SE,13,13,3.15,48,3.072,26,34,157,active
2001_0020,2001,Male,5,3,Fall,2003,SE,15,15,3.85,63,3.258,12,75,232,active
2001_0020,2001,Male,6,3,Spring,2003,SE,14,13,3.54,76,3.306,36,75,307,active
2001_0020,2001,Male,7,4,Fall,2004,SE,15,15,3.45,91,3.33,27,39,346,active
2001_0020,2001,Male,8,4,Spring,2004,SE,12,12,3.14,103,3.308,22,41,387,active
2001_0021,2001,Male,1,1,Fall,2001,SE,12,11,2.94,11,2.94,10,36,36,active
2001_0021,2001,Male,2,1,Spring,2001,SE,10,10,3.28,21,3.102,11,32,68,active
2001_0021,2001,Male,3,2,Fall,2002,SE,13,13,3.23,34,3.151,22,38,106,active
2001_0021,2001,Male,4,2,Spring,2002,SE,14,13,3.11,47,3.14,8,32,138,active
2001_0021,2001,Male,5,3,Fall,2003,SE,14,14,3.4,61,3.199,16,36,174,active
2001_0021,2001,Male,6,3,Spring,2003,SE,14,14,3.18,75,3.196,7,38,212,active
2001_0021,2001,Male,7,4,Fall,2004,SE,13,12,2.88,87,3.152,7,30,242,active
2001_0021,2001,Male,8,4,Spring,2004,SE,10,10,3.25,97,3.162,19,39,281,active
2001_0022,2001,Male,1,1,Fall,2001,SE,20,18,2.43,18,2.43,15,36,36,active
2001_0022,2001,Male,2,1,Spring,2001,SE,19,18,2.5,36,2.465,31,41,77,active
2001_0022,2001,Male,3,2,Fall,2002,SE,16,15,2.49,51,2.472,9,35,112,active
2001_0022,2001,Male,4,2,Spring,2002,SE,16,15,2.41,66,2.458,18,38,150,active
2001_0022,2001,Male,5,3,Fall,2003,SE,17,17,2.64,83,2.495,24,40,190,active
2001_0022,2001,Male,6,3,Spring,2003,SE,16,16,2.41,99,2.482,15,40,230,active
2001_0022,2001,Male,7,4,Fall,2004,SE,16,16,2.52,115,2.487,11,37,267,active
2001_0022,2001,Male,8,4,Spring,2004,SE,12,12,2.92,127,2.528,18,45,312,active
2001_0023,2001,Female,1,1,Fall,2001,SE,14,14,3.67,14,3.67,24,75,75,active
2001_0023,2001,Female,2,1,Spring,2001,SE,12,12,3.84,26,3.748,22,75,150,active
2001_0023,2001,Female,3,2,Fall,2002,SE,14,14,3.6,40,3.696,16,75,225,active
2001_0023,2001,Female,4,2,Spring,2002,SE,14,13,3.85,53,3.734,16,75,300,active
2001_0023,2001,Female,5,3,Fall,2003,SE,12,12,3.76,65,3.739,22,75,375,active
2001_0023,2001,Female,6,3,Spring,2003,SE,14,14,3.65,79,3.723,15,75,450,active
2001_0023,2001,Female,7,4,Fall,2004,SE,15,13,3.58,92,3.703,17,75,525,active
2001_0023,2001,Female,8,4,Spring,2004,SE,14,14,3.88,106,3.726,26,75,600,active
2001_0024,2001,Female,1,1,Fall,2001,SE,6,6,1.43,6,1.43,6,39,39,active
2001_0024,2001,Female,2,1,Spring,2001,SE,10,8,1.19,14,1.293,4,29,68,active
2001_0024,2001,Female,3,2,Fall,2002,SE,11,10,1.92,24,1.554,14,32,100,active
2001_0024,2001,Female,4,2,Spring,2002,SE,14,14,2.23,38,1.803,8,30,130,active
2001_0024,2001,Female,5,3,Fall,2003,SE,15,15,2.37,53,1.964,8,46,176,active
2001_0024,2001,Female,6,3,Spring,2003,SE,17,17,2.51,70,2.096,7,39,215,active
2001_0024,2001,Female,7,4,Fall,2004,SE,19,19,3.13,89,2.317,18,45,260,active
2001_0024,2001,Female,8,4,Spring,2004,SE,21,21,3.2,110,2.486,22,51,311,active
2001_0025,2001,Male,1,1,Fall,2001,SE,12,9,1.65,9,1.65,12,33,33,active
2001_0025,2001,Male,2,1,Spring,2001,SE,12,7,1.65,16,1.65,12,26,59,active
2001_0025,2001,Male,3,2,Fall,2002,SE,16,10,1.71,26,1.673,12,30,89,active
2001_0025,2001,Male,4,2,Spring,2002,SE,16,16,2.42,42,1.958,9,26,115,active
2001_0025,2001,Male,5,3,Fall,2003,SE,17,14,2.16,56,2.008,10,26,141,active
2001_0025,2001,Male,6,3,Spring,2003,SE,16,8,1.61,64,1.958,8,26,167,active
2001_0025,2001,Male,7,4,Fall,2004,SE,18,18,1.98,82,1.963,8,38,205,active
2001_0025,2001,Male,8,4,Spring,2004,SE,16,16,2.2,98,2.002,10,37,242,active
2001_0026,2001,Female,1,1,Fall,2001,SE,12,12,2.76,12,2.76,8,26,26,active
2001_0026,2001,Female,2,1,Spring,2001,SE,14,14,2.58,26,2.663,22,31,57,active
2001_0026,2001,Female,3,2,Fall,2002,SE,11,11,2.39,37,2.582,5,36,93,active
2001_0026,2001,Female,4,2,Spring,2002,SE,12,12,2.87,49,2.652,9,31,124,active
2001_0026,2001,Female,5,3,Fall,2003,SE,15,15,2.81,64,2.689,9,34,158,active
2001_0026,2001,Female,6,3,Spring,2003,SE,17,17,2.47,81,2.643,9,25,183,active
2001_0026,2001,Female,7,4,Fall,2004,SE,16,16,3.0,97,2.702,15,34,217,active
2001_0026,2001,Female,8,4,Spring,2004,SE,15,9,2.56,106,2.69,7,37,254,active
2001_0027,2001,Female,1,1,Fall,2001,SE,11,11,2.71,11,2.71,12,41,41,active
2001_0027,2001,Female,2,1,Spring,2001,SE,12,12,2.48,23,2.59,8,38,79,active
2001_0027,2001,Female,3,2,Fall,2002,SE,6,0,1.59,23,2.59,3,44,123,active
2001_0027,2001,Female,4,2,Spring,2002,SE,11,11,2.72,34,2.632,5,42,165,active
2001_0027,2001,Female,5,3,Fall,2003,SE,15,15,3.12,49,2.781,7,47,212,active
2001_0027,2001,Female,6,3,Spring,2003,SE,11,11,3.13,60,2.845,19,34,246,active
2001_0027,2001,Female,7,4,Fall,2004,SE,15,15,3.04,75,2.884,21,47,293,active
2001_0027,2001,Female,8,4,Spring,2004,SE,14,14,2.95,89,2.895,20,44,337,active
2001_0028,2001,Male,1,1,Fall,2001,SE,13,13,2.58,13,2.58,17,35,35,active
2001_0028,2001,Male,2,1,Spring,2001,SE,14,14,2.64,27,2.611,30,32,67,active
2001_0028,2001,Male,3,2,Fall,2002,SE,19,18,3.13,45,2.819,13,48,115,active
2001_0028,2001,Male,4,2,Spring,2002,SE,15,15,3.43,60,2.972,26,48,163,active
2001_0028,2001,Male,5,3,Fall,2003,SE,18,17,2.94,77,2.965,23,34,197,active
2001_0028,2001,Male,6,3,Spring,2003,SE,13,11,3.06,88,2.976,38,33,230,active
2001_0028,2001,Male,7,4,Fall,2004,SE,18,18,3.47,106,3.06,19,39,269,active
2001_0028,2001,Male,8,4,Spring,2004,SE,18,16,2.94,122,3.045,10,39,308,active
2001_0029,2001,Male,1,1,Fall,2001,SE,19,18,3.06,18,3.06,14,46,46,active
2001_0029,2001,Male,2,1,Spring,2001,SE,14,13,3.04,31,3.052,31,37,83,active
2001_0029,2001,Male,3,2,Fall,2002,SE,19,15,3.19,46,3.097,25,34,117,active
2001_0029,2001,Male,4,2,Spring,2002,SE,15,13,3.08,59,3.093,14,37,154,active
2001_0029,2001,Male,5,3,Fall,2003,SE,16,16,3.23,75,3.122,31,48,202,active
2001_0029,2001,Male,6,3,Spring,2003,SE,14,14,3.19,89,3.133,37,47,249,active
2001_0029,2001,Male,7,4,Fall,2004,SE,16,16,2.91,105,3.099,33,45,294,active
2001_0029,2001,Male,8,4,Spring,2004,SE,14,14,3.3,119,3.123,29,42,336,active
2001_0030,2001,Male,1,1,Fall,2001,SE,18,18,3.52,18,3.52,16,75,75,active
2001_0030,2001,Male,2,1,Spring,2001,SE,16,16,3.47,34,3.496,13,48,123,active
2001_0030,2001,Male,3,2,Fall,2002,SE,12,12,3.67,46,3.542,15,75,198,active
2001_0030,2001,Male,4,2,Spring,2002,SE,16,16,3.46,62,3.521,14,36,234,active
2001_0030,2001,Male,5,3,Fall,2003,SE,17,16,3.98,78,3.615,18,75,309,active
2001_0030,2001,Male,6,3,Spring,2003,SE,13,11,3.49,89,3.599,28,41,350,active
2001_0030,2001,Male,7,4,Fall,2004,SE,12,12,3.39,101,3.575,16,37,387,active
2001_0030,2001,Male,8,4,Spring,2004,SE,19,18,3.11,119,3.504,20,52,439,active
2001_0031,2001,Male,1,1,Fall,2001,SE,13,13,2.95,13,2.95,16,38,38,active
2001_0031,2001,Male,2,1,Spring,2001,SE,18,18,2.67,31,2.787,26,36,74,active
2001_0031,2001,Male,3,2,Fall,2002,SE,18,14,3.13,45,2.894,17,37,111,active
2001_0031,2001,Male,4,2,Spring,2002,SE,17,14,2.9,59,2.895,14,47,158,active
2001_0031,2001,Male,5,3,Fall,2003,SE,18,17,2.98,76,2.914,13,42,200,active
2001_0031,2001,Male,6,3,Spring,2003,SE,15,10,2.68,86,2.887,15,37,237,active
2001_0031,2001,Male,7,4,Fall,2004,SE,14,13,2.8,99,2.876,13,39,276,active
2001_0031,2001,Male,8,4,Spring,2004,SE,16,16,3.19,115,2.919,32,45,321,active
2001_0032,2001,Male,1,1,Fall,2001,SE,18,18,3.38,18,3.38,34,47,47,active
2001_0032,2001,Male,2,1,Spring,2001,SE,23,18,3.04,36,3.21,32,45,92,active
2001_0032,2001,Male,3,2,Fall,2002,SE,21,21,3.36,57,3.265,53,48,140,active
2001_0032,2001,Male,4,2,Spring,2002,SE,23,23,2.82,80,3.137,34,50,190,active
2001_0032,2001,Male,5,3,Fall,2003,SE,21,16,2.94,96,3.104,24,42,232,active
2001_0032,2001,Male,6,3,Spring,2003,SE,24,20,2.99,116,3.085,40,49,281,dropped_out
2001_0032,2001,Male,7,4,Fall,2004,SE,0,0,0.0,116,3.085,0,0,281,dropped_out
2001_0032,2001,Male,8,4,Spring,2004,SE,0,0,0.0,116,3.085,0,0,281,dropped_out
2001_0033,2001,Female,1,1,Fall,2001,SE,10,10,3.5,10,3.5,26,75,75,active
2001_0033,2001,Female,2,1,Spring,2001,SE,8,8,3.28,18,3.402,4,38,113,active
2001_0033,2001,Female,3,2,Fall,2002,SE,11,11,3.17,29,3.314,4,37,150,active
2001_0033,2001,Female,4,2,Spring,2002,SE,10,10,3.28,39,3.305,9,34,184,active
2001_0033,2001,Female,5,3,Fall,2003,SE,11,11,2.95,50,3.227,7,28,212,active
2001_0033,2001,Female,6,3,Spring,2003,SE,11,11,2.97,61,3.181,6,30,242,active
2001_0033,2001,Female,7,4,Fall,2004,SE,9,9,2.85,70,3.138,6,36,278,active
2001_0033,2001,Female,8,4,Spring,2004,SE,12,12,3.06,82,3.127,12,40,318,active
2001_0034,2001,Male,1,1,Fall,2001,SE,15,14,3.1,14,3.1,20,34,34,active
2001_0034,2001,Male,2,1,Spring,2001,SE,19,17,3.19,31,3.149,25,35,69,active
2001_0034,2001,Male,3,2,Fall,2002,SE,16,15,2.81,46,3.039,13,44,113,active
2001_0034,2001,Male,4,2,Spring,2002,SE,17,17,2.97,63,3.02,10,33,146,active
2001_0034,2001,Male,5,3,Fall,2003,SE,14,14,3.0,77,3.016,31,50,196,active
2001_0034,2001,Male,6,3,Spring,2003,SE,13,13,2.73,90,2.975,18,44,240,active
2001_0034,2001,Male,7,4,Fall,2004,SE,15,15,2.96,105,2.973,18,43,283,active
2001_0034,2001,Male,8,4,Spring,2004,SE,13,13,2.84,118,2.958,10,35,318,active
2001_0035,2001,Male,1,1,Fall,2001,SE,6,6,1.74,6,1.74,11,34,34,active
2001_0035,2001,Male,2,1,Spring,2001,SE,10,10,1.66,16,1.69,11,33,67,active
2001_0035,2001,Male,3,2,Fall,2002,SE,11,11,2.39,27,1.975,15,29,96,active
